Time,ECG1,ECG2
2021-08-19 13:31:10.556,-0.31,0.24
2021-08-19 13:31:10.560,-0.25,0.205
2021-08-19 13:31:10.564,-0.255,0.21
2021-08-19 13:31:10.568,-0.325,0.23
2021-08-19 13:31:10.572,-0.35,0.24
2021-08-19 13:31:10.576,-0.3,0.245
2021-08-19 13:31:10.580,-0.28,0.25
2021-08-19 13:31:10.584,-0.26,0.27
2021-08-19 13:31:10.588,-0.2,0.285
2021-08-19 13:31:10.592,-0.18,0.26
2021-08-19 13:31:10.596,-0.195,0.25
2021-08-19 13:31:10.600,-0.225,0.225
2021-08-19 13:31:10.604,-0.24,0.2
2021-08-19 13:31:10.608,-0.2,0.22
2021-08-19 13:31:10.612,-0.1,0.23
2021-08-19 13:31:10.616,-0.03,0.22
2021-08-19 13:31:10.620,-0.055,0.24
2021-08-19 13:31:10.624,-0.18,0.245
2021-08-19 13:31:10.628,-0.3,0.245
2021-08-19 13:31:10.632,-0.32,0.22
2021-08-19 13:31:10.636,-0.155,0.235
2021-08-19 13:31:10.640,-0.115,0.245
2021-08-19 13:31:10.644,-0.26,0.225
2021-08-19 13:31:10.648,-0.38,0.2
2021-08-19 13:31:10.652,-0.38,0.19
2021-08-19 13:31:10.656,-0.36,0.185
2021-08-19 13:31:10.660,-0.3,0.21
2021-08-19 13:31:10.664,-0.28,0.24
2021-08-19 13:31:10.668,-0.25,0.22
2021-08-19 13:31:10.672,-0.22,0.225
2021-08-19 13:31:10.676,-0.21,0.225
2021-08-19 13:31:10.680,-0.19,0.26
2021-08-19 13:31:10.684,-0.205,0.25
2021-08-19 13:31:10.688,-0.2,0.24
2021-08-19 13:31:10.692,-0.18,0.22
2021-08-19 13:31:10.696,-0.15,0.2
2021-08-19 13:31:10.700,-0.105,0.22
2021-08-19 13:31:10.704,-0.11,0.21
2021-08-19 13:31:10.708,-0.14,0.23
2021-08-19 13:31:10.712,-0.15,0.24
2021-08-19 13:31:10.716,-0.14,0.23
2021-08-19 13:31:10.720,-0.08,0.2
2021-08-19 13:31:10.724,-0.11,0.21
2021-08-19 13:31:10.728,-0.225,0.21
2021-08-19 13:31:10.732,-0.255,0.235
2021-08-19 13:31:10.736,-0.26,0.19
2021-08-19 13:31:10.740,-0.265,0.17
2021-08-19 13:31:10.744,-0.24,0.215
2021-08-19 13:31:10.748,-0.23,0.22
2021-08-19 13:31:10.752,-0.2,0.23
2021-08-19 13:31:10.756,-0.185,0.195
2021-08-19 13:31:10.760,-0.18,0.215
2021-08-19 13:31:10.764,-0.155,0.235
2021-08-19 13:31:10.768,-0.15,0.23
2021-08-19 13:31:10.772,-0.11,0.205
2021-08-19 13:31:10.776,-0.075,0.21
2021-08-19 13:31:10.780,-0.09,0.21
2021-08-19 13:31:10.784,-0.13,0.195
2021-08-19 13:31:10.788,-0.09,0.185
2021-08-19 13:31:10.792,-0.045,0.21
2021-08-19 13:31:10.796,0.005,0.22
2021-08-19 13:31:10.800,0.065,0.205
2021-08-19 13:31:10.804,0.0,0.185
2021-08-19 13:31:10.808,-0.16,0.185
2021-08-19 13:31:10.812,-0.275,0.195
2021-08-19 13:31:10.816,-0.255,0.195
2021-08-19 13:31:10.820,-0.19,0.21
2021-08-19 13:31:10.824,-0.195,0.23
2021-08-19 13:31:10.828,-0.19,0.21
2021-08-19 13:31:10.832,-0.185,0.2
2021-08-19 13:31:10.836,-0.18,0.22
2021-08-19 13:31:10.840,-0.16,0.205
2021-08-19 13:31:10.844,-0.1,0.22
2021-08-19 13:31:10.848,-0.05,0.23
2021-08-19 13:31:10.852,-0.04,0.215
2021-08-19 13:31:10.856,-0.03,0.22
2021-08-19 13:31:10.860,0.045,0.2
2021-08-19 13:31:10.864,0.01,0.2
2021-08-19 13:31:10.868,-0.09,0.195
2021-08-19 13:31:10.872,-0.165,0.18
2021-08-19 13:31:10.876,-0.13,0.15
2021-08-19 13:31:10.880,-0.11,0.14
2021-08-19 13:31:10.884,-0.085,0.125
2021-08-19 13:31:10.888,-0.1,0.2
2021-08-19 13:31:10.892,-0.14,0.26
2021-08-19 13:31:10.896,-0.155,0.235
