Time,ECG1,ECG2
2021-08-19 19:40:28.892,-0.315,-0.1
2021-08-19 19:40:28.896,-0.34,-0.1
2021-08-19 19:40:28.900,-0.33,-0.09
2021-08-19 19:40:28.904,-0.32,-0.1
2021-08-19 19:40:28.908,-0.32,-0.11
2021-08-19 19:40:28.912,-0.33,-0.09
2021-08-19 19:40:28.916,-0.315,-0.085
2021-08-19 19:40:28.920,-0.3,-0.09
2021-08-19 19:40:28.924,-0.275,-0.085
2021-08-19 19:40:28.928,-0.28,-0.07
2021-08-19 19:40:28.932,-0.305,-0.06
2021-08-19 19:40:28.936,-0.305,-0.085
2021-08-19 19:40:28.940,-0.315,-0.07
2021-08-19 19:40:28.944,-0.31,-0.065
2021-08-19 19:40:28.948,-0.32,-0.095
2021-08-19 19:40:28.952,-0.3,-0.105
2021-08-19 19:40:28.956,-0.3,-0.1
2021-08-19 19:40:28.960,-0.32,-0.09
2021-08-19 19:40:28.964,-0.33,-0.11
2021-08-19 19:40:28.968,-0.32,-0.085
2021-08-19 19:40:28.972,-0.32,-0.07
2021-08-19 19:40:28.976,-0.32,-0.095
2021-08-19 19:40:28.980,-0.32,-0.1
2021-08-19 19:40:28.984,-0.315,-0.1
2021-08-19 19:40:28.988,-0.305,-0.11
2021-08-19 19:40:28.992,-0.31,-0.11
2021-08-19 19:40:28.996,-0.315,-0.115
2021-08-19 19:40:29.000,-0.31,-0.095
2021-08-19 19:40:29.004,-0.31,-0.095
2021-08-19 19:40:29.008,-0.325,-0.09
2021-08-19 19:40:29.012,-0.33,-0.08
2021-08-19 19:40:29.016,-0.32,-0.1
2021-08-19 19:40:29.020,-0.305,-0.09
2021-08-19 19:40:29.024,-0.31,-0.09
2021-08-19 19:40:29.028,-0.3,-0.095
2021-08-19 19:40:29.032,-0.285,-0.085
2021-08-19 19:40:29.036,-0.275,-0.075
2021-08-19 19:40:29.040,-0.265,-0.105
2021-08-19 19:40:29.044,-0.275,-0.08
2021-08-19 19:40:29.048,-0.26,-0.07
